	id	text	lemma_tokens	topic_id	topic_keywords	score	all_scores_0	all_scores_1	all_scores_2	all_scores_3	all_scores_4	principal component 1	principal component 2
0	1.57932E+18	la patie girl power! non masterclass #avengersendgame	"{'avengersendgame', 'masterclass', 'patie', 'non', 'la', 'girl', 'power'}"	2	{'avengersendgame'}	0.5950744	0.316923171	0.029252693	0.595074415	0.029097097	0.029652651	-1.438836726	-0.616292779
1	1.57928E+18	why would you take the time to air #avengersendgame on network tv and cut off the curtain call scenes of all the mcu characters!?	"{'avengersendgame', 'character', 'air', 'mcu', 'time', 'curtain', 'scene', 'network', 'cut', 'tv'}"	4	set()	0.5831364	0.202206373	0.018564563	0.018618742	0.177473962	0.58313638	-0.374374223	1.422129245
2	1.57928E+18	just watched #avengersendgame yet again and cried just as hard at the end as i have the first time i saw it. #everytime	"{'avengersendgame', 'watch', 'end', 'time', 'see', 'hard', 'everytime', 'cry'}"	2	"{'avengersendgame', 'watch'}"	0.9095846	0.022517584	0.022904761	0.909584582	0.022483107	0.022509936	-1.869020324	-1.489862405
3	1.57927E+18	"just watched the tony stark death scene in endgame for the 57,00th time and it still gets very dusty. #avengersendgame #tonystark #mcu"	"{'avengersendgame', 'watch', 'tonystark', 'mcu', 'stark', 'time', 'scene', 'tony', 'endgame', '57,00th', 'dusty', 'get', 'death'}"	2	"{'avengersendgame', 'watch'}"	0.77898264	0.015560146	0.174133405	0.778982639	0.015629103	0.015694715	-1.250270774	-1.510046513
4	1.57925E+18	just realized jean grey was responsible for what happen in the last avengers #xmen #avengersendgame #avengers #marvel #marvelstudios	"{'xmen', 'avengersendgame', 'marvel', 'happen', 'marvelstudio', 'avenger', 'grey', 'responsible', 'realize', 'jean'}"	4	{'marvel'}	0.67993426	0.017023696	0.016890192	0.269138128	0.017013723	0.679934263	-0.880424169	0.640166372
5	1.57924E+18	"thor, captain et iron man ensemble #avengersendgame"	"{'avengersendgame', 'ensemble', 'man', 'captain', 'thor', 'et', 'iron'}"	2	"{'avengersendgame', 'thor'}"	0.75521344	0.025271306	0.02513051	0.755213439	0.026768323	0.167616397	-1.616124161	-0.98759799
6	1.57923E+18	peggy et steve #avengersendgame	"{'avengersendgame', 'et', 'steve', 'peggy'}"	2	{'avengersendgame'}	0.8385145	0.040498082	0.040122829	0.838514507	0.040681608	0.040182944	-1.696449103	-1.309940499
7	1.57923E+18	steve #avengersendgame	"{'avengersendgame', 'steve'}"	2	{'avengersendgame'}	0.7310961	0.068276487	0.066747949	0.731096089	0.066964336	0.066915132	-1.43538348	-1.040499626
8	1.57923E+18	"\- don't do anything stupid until i get back - how can i ? you took all the stupid with you?\"" #avengersendgame"""	"{'avengersendgame', 'stupid', 'you?\\', 'take'}"	2	{'avengersendgame'}	0.8656114	0.033686806	0.033578843	0.865611374	0.033640213	0.033482749	-1.762305958	-1.37865731
9	1.57923E+18	tony stark #avengersendgame	"{'tony', 'avengersendgame', 'stark'}"	2	{'avengersendgame'}	0.7986714	0.050720744	0.050043695	0.798671424	0.050245825	0.050318234	-1.599653906	-1.210157125
10	1.57923E+18	rendez nous tony stark #avengersendgame	"{'avengersendgame', 'nous', 'rendez', 'tony', 'stark'}"	2	{'avengersendgame'}	0.79868996	0.050702665	0.050043687	0.798689961	0.050245717	0.050318018	-1.599677801	-1.210209056
11	1.57923E+18	i love you 3000 #avengersendgame	"{'love', 'avengersendgame', '3000'}"	0	{'avengersendgame'}	0.7978502	0.797850192	0.050484043	0.051225908	0.05020266	0.050237175	-0.648237097	0.880845167
12	1.57923E+18	i love you 3000 #avengersendgame	"{'love', 'avengersendgame', '3000'}"	0	{'avengersendgame'}	0.7978394	0.797839403	0.050484113	0.051236562	0.050202686	0.050237205	-0.648250374	0.880815197
13	1.57923E+18	heart broken #avengersendgame	"{'avengersendgame', 'heart', 'break'}"	0	{'avengersendgame'}	0.7968252	0.796825171	0.050690897	0.051849239	0.050371554	0.050263155	-0.648164055	0.878738158
14	1.57923E+18	tony #avengersendgame	"{'tony', 'avengersendgame'}"	2	{'avengersendgame'}	0.73117065	0.068225645	0.066751353	0.731170654	0.06704019	0.066812202	-1.435399016	-1.040705059
15	1.57923E+18	tony stark deserved better #avengersendgame #tonystark	"{'avengersendgame', 'tonystark', 'deserve', 'tony', 'well', 'stark'}"	2	{'avengersendgame'}	0.8844694	0.028819108	0.028795181	0.88446939	0.028849455	0.029066866	-1.808622414	-1.425695472
16	1.57923E+18	"\we won..we won mr.stark..\"" #avengersendgame"""	"{'mr.stark', 'avengersendgame', 'win', '\\we'}"	3	set()	0.86438125	0.03467463	0.033444073	0.034079548	0.864381254	0.033420499	0.391477417	1.637957016
17	1.57923E+18	rip tony stark #avengersendgame	"{'tony', 'avengersendgame', 'rip', 'stark'}"	2	{'avengersendgame'}	0.83914024	0.040445887	0.040072046	0.839140236	0.04014305	0.040198814	-1.698106795	-1.312004048
18	1.57923E+18	tony stark est mort #avengersendgame	"{'avengersendgame', 'stark', 'tony', 'mort', 'est'}"	2	{'avengersendgame'}	0.605308	0.040543579	0.040160362	0.605307996	0.273658454	0.040329576	-1.092141124	-0.464031224
19	1.57923E+18	on t'aime tony #avengersendgame	"{'tony', ""t'aime"", 'avengersendgame'}"	0	{'avengersendgame'}	0.53749233	0.537492335	0.050048754	0.31150049	0.050229691	0.050728701	-0.980246254	0.153661482
20	1.57923E+18	rip tony #avengersendgame	"{'tony', 'avengersendgame', 'rip'}"	2	{'avengersendgame'}	0.7988591	0.050752692	0.050119966	0.798859119	0.050176095	0.050092123	-1.599819545	-1.211042648
21	1.57923E+18	thanos . #avengersendgame	"{'avengersendgame', 'thano'}"	0	{'avengersendgame'}	0.73054147	0.730541468	0.066728279	0.068339787	0.067114182	0.067276262	-0.592644456	0.814974683
22	1.57923E+18	girl power #avengersendgame	"{'avengersendgame', 'girl', 'power'}"	0	{'avengersendgame'}	0.7960584	0.796058416	0.050459072	0.05192446	0.050349616	0.051208451	-0.648711943	0.879556902
23	1.57923E+18	girl power #avengersendgame	"{'avengersendgame', 'girl', 'power'}"	0	{'avengersendgame'}	0.79610944	0.796109438	0.050458889	0.051874511	0.050349474	0.051207721	-0.648649432	0.879696707
24	1.57923E+18	captain marvel #avengersendgame	"{'marvel', 'avengersendgame', 'captain'}"	2	{'avengersendgame'}	0.7962268	0.050724797	0.050600927	0.796226799	0.050880831	0.051566679	-1.593618506	-1.20355493
25	1.57923E+18	carol!!! trop forte #avengersendgame	"{'avengersendgame', 'trop', 'forte', 'carol'}"	2	{'avengersendgame'}	0.7314148	0.0680729	0.066741206	0.731414795	0.066963457	0.066807613	-1.435843174	-1.041429139
26	1.57923E+18	wandaaaa ma go sureeee #avengersendgame	"{'avengersendgame', 'wandaaaa', 'sureeee', 'ma'}"	0	{'avengersendgame'}	0.7287919	0.728791893	0.066727437	0.067501843	0.066904575	0.070074297	-0.591006942	0.818539897
